Country;Date;Bee_name
Germany;8-8-2022;Sphecodes crassus
Germany;10-6-2022;Osmia spinulosa
Germany;10-6-2022;Halictus simplex
Germany;10-6-2022;Andrena labiata
Germany;10-6-2022;Lasioglossum calceatum
Germany;10-6-2022;Andrena bicolor
Germany;10-6-2022;Lasioglossum pauxillum
Germany;17-7-2022;Bombus lapidarius
Germany;17-7-2022;Bombus lapidarius
Germany;17-7-2022;Bombus lapidarius
Germany;17-7-2022;Bombus pascuorum
Germany;17-7-2022;Andrena minutula
Germany;17-7-2022;Bombus pascuorum
Germany;17-7-2022;Bombus pascuorum
Germany;17-7-2022;Bombus terrestris
Germany;17-7-2022;Bombus spec
Germany;17-7-2022;Stelis odontopyga
Germany;17-7-2022;Andrena minutula
Germany;17-7-2022;Bombus lapidarius
Germany;17-7-2022;Bombus lapidarius
Germany;17-7-2022;Bombus pascuorum
Germany;17-7-2022;Halictus scabiosae
Germany;17-7-2022;Halictus tumulorum
Germany;17-7-2022;Halictus tumulorum
Germany;17-7-2022;Halictus tumulorum
Germany;17-7-2022;Lasioglossum leucozonium
Germany;9-8-2022;Halictus simplex
Germany;9-8-2022;Halictus simplex
Germany;9-8-2022;Halictus quadricinctus
Germany;9-8-2022;Bombus lapidarius
Germany;9-8-2022;Halictus rubicundus
Germany;9-8-2022;Halictus scabiosae
Germany;9-8-2022;Halictus tumulorum
Germany;9-8-2022;Apis mellifera
Germany;11-6-2022;Bombus lapidarius
Germany;11-6-2022;Bombus lapidarius
Germany;11-6-2022;Bombus lapidarius
Germany;11-6-2022;Bombus lapidarius
Germany;11-6-2022;Bombus lapidarius
Germany;15-7-2022;Bombus pascuorum
Germany;15-7-2022;Bombus pascuorum
Germany;15-7-2022;Bombus pascuorum
Germany;15-7-2022;Bombus pascuorum
Germany;10-8-2022;Bombus pascuorum
Germany;10-8-2022;Lasioglossum leucozonium
Germany;10-8-2022;Apis mellifera
Germany;10-8-2022;Bombus spec
Germany;10-8-2022;Lasioglossum leucozonium
Germany;10-8-2022;Lasioglossum leucozonium
Germany;11-6-2022;Halictus tumulorum
Germany;11-6-2022;Anthidium byssinum
Germany;11-6-2022;Bombus hortorum
Germany;11-6-2022;Bombus hypnorum
Germany;11-6-2022;Hylaeus confusus
Germany;15-7-2022;Halictus simplex
Germany;15-7-2022;Halictus simplex
Germany;14-6-2022;Bombus pascuorum
Germany;14-6-2022;Bombus pascuorum
Germany;12-8-2022;Halictus simplex
Germany;8-6-2022;Sphecodes gibbus
Germany;14-7-2022;Bombus pascuorum
Germany;14-7-2022;Osmia cantabrica
Germany;14-7-2022;Osmia leucomelana
Germany;7-8-2022;Lasioglossum calceatum
Germany;7-8-2022;Megachile centuncularis
Germany;7-8-2022;Apis mellifera
Germany;7-8-2022;Lindenius albilabris
Germany;7-8-2022;Lasioglossum leucozonium
Germany;7-8-2022;Halictus tumulorum
Germany;27-5-2022;Hylaeus confusus
Germany;27-5-2022;Lasioglossum villosulum
Germany;27-5-2022;Bombus rupestris
Germany;27-5-2022;Chelostoma florisomne
Germany;2-7-2022;Lasioglossum calceatum
Germany;2-7-2022;Lasioglossum morio
Germany;2-7-2022;Bombus hortorum
Germany;2-7-2022;Lasioglossum villosulum
Germany;2-7-2022;Andrena bicolor
Germany;2-7-2022;Bombus pascuorum
Germany;2-7-2022;Bombus pascuorum
Germany;2-7-2022;Bombus pascuorum
Germany;2-7-2022;Chelostoma florisomne
Germany;2-7-2022;Halictus scabiosae
Germany;2-7-2022;Nomada flavoguttata
Germany;2-7-2022;Bombus lapidarius
Germany;2-7-2022;Bombus pascuorum
Germany;2-7-2022;Hylaeus communis
Germany;2-7-2022;Lasioglossum pauxillum
Germany;2-7-2022;Lasioglossum nitidiusculum
Germany;2-7-2022;Lasioglossum nitidiusculum
Germany;28-7-2022;Bombus pascuorum
Germany;28-7-2022;Bombus pascuorum
Germany;28-7-2022;Bombus terrestris
Germany;28-7-2022;Halictus tumulorum
Germany;28-7-2022;Hylaeus brevicornis
Germany;28-7-2022;Hylaeus brevicornis
Germany;28-7-2022;Hylaeus styriacus
Germany;28-7-2022;Lasioglossum pauxillum
Germany;28-7-2022;Sphecodes crassus
Germany;28-7-2022;Apis mellifera
Germany;28-7-2022;Bombus pascuorum
Germany;28-7-2022;Lasioglossum albipes
Germany;28-7-2022;Apis mellifera
Germany;28-7-2022;Halictus quadricinctus
Germany;28-7-2022;Halictus quadricinctus
Germany;28-7-2022;Bombus lapidarius
Germany;28-7-2022;Bombus lapidarius
Germany;28-7-2022;Bombus pascuorum
Germany;28-7-2022;Bombus pascuorum
Germany;28-7-2022;Bombus pascuorum
Germany;28-7-2022;Halictus scabiosae
Germany;28-7-2022;Bombus pascuorum
